sim_num,final_bankroll,roi_pct
429,210.62,110.6
430,210.59,110.6
431,210.55,110.6
432,210.61,110.6
433,210.61,110.6
434,210.69,110.7
435,210.59,110.6
436,210.54,110.5
437,210.57,110.6
438,210.64,110.6
439,210.67,110.7
440,210.57,110.6
441,210.68,110.7
442,210.52,110.5
443,210.65,110.7
444,210.58,110.6
445,210.64,110.6
446,210.51,110.5
447,210.58,110.6
448,210.57,110.6
449,210.54,110.5
450,210.55,110.6
451,210.54,110.5
452,210.62,110.6
453,210.55,110.6
454,210.63,110.6
455,210.67,110.7
456,210.64,110.6
457,210.54,110.5
458,210.7,110.7
459,210.54,110.5
460,210.55,110.6
461,210.56,110.6
462,210.63,110.6
463,210.56,110.6
464,210.56,110.6
465,210.66,110.7
466,210.55,110.6
467,210.65,110.7
468,210.61,110.6
469,210.49,110.5
470,210.68,110.7
471,210.46,110.5
472,210.65,110.7
473,210.61,110.6
474,210.59,110.6
475,210.6,110.6
476,210.62,110.6
477,210.67,110.7
478,210.56,110.6
479,210.62,110.6
480,210.62,110.6
481,210.6,110.6
482,210.48,110.5
483,210.68,110.7
484,210.58,110.6
485,210.61,110.6
486,210.59,110.6
487,210.5,110.5
488,210.6,110.6
489,210.57,110.6
490,210.56,110.6
491,210.53,110.5
492,210.64,110.6
493,210.59,110.6
494,210.55,110.6
495,210.61,110.6
496,210.56,110.6
497,210.6,110.6
498,210.55,110.6
499,210.55,110.6
500,210.65,110.7
501,210.58,110.6
502,210.68,110.7
503,210.57,110.6
504,210.64,110.6
505,210.63,110.6
506,210.55,110.6
507,210.57,110.6
508,210.61,110.6
509,210.5,110.5
510,210.6,110.6
511,210.63,110.6
512,210.49,110.5
513,210.52,110.5
514,210.66,110.7
515,210.56,110.6
516,210.65,110.7
517,210.48,110.5
518,210.64,110.6
519,210.5,110.5
520,210.61,110.6
521,210.61,110.6
522,210.59,110.6
523,210.5,110.5
524,210.55,110.6
525,210.63,110.6
526,210.5,110.5
527,210.66,110.7
528,210.67,110.7
529,210.55,110.6
530,210.62,110.6
531,210.54,110.5
532,210.53,110.5
533,210.59,110.6
534,210.58,110.6
535,210.63,110.6
536,210.55,110.6
537,210.66,110.7
538,210.72,110.7
539,210.65,110.7
540,210.61,110.6
541,210.56,110.6
542,210.49,110.5
543,210.58,110.6
544,210.57,110.6
545,210.6,110.6
546,210.59,110.6
547,210.6,110.6
548,210.56,110.6
549,210.48,110.5
550,210.55,110.6
551,210.52,110.5
552,210.52,110.5
553,210.56,110.6
554,210.73,110.7
555,210.66,110.7
556,210.58,110.6
557,210.6,110.6
558,210.57,110.6
559,210.57,110.6
560,210.66,110.7
561,210.52,110.5
562,210.49,110.5
563,210.54,110.5
564,210.53,110.5
565,210.5,110.5
566,210.53,110.5
567,210.64,110.6
568,210.5,110.5
569,210.62,110.6
570,210.65,110.7
571,210.57,110.6
572,210.5,110.5
573,210.6,110.6
574,210.59,110.6
575,210.53,110.5
576,210.63,110.6
577,210.56,110.6
578,210.56,110.6
579,210.57,110.6
580,210.62,110.6
581,210.58,110.6
582,210.61,110.6
583,210.64,110.6
584,210.56,110.6
585,210.75,110.8
586,210.46,110.5
587,210.57,110.6
588,210.64,110.6
589,210.64,110.6
590,210.57,110.6
591,210.64,110.6
592,210.56,110.6
593,210.58,110.6
594,210.67,110.7
595,210.56,110.6
596,210.57,110.6
597,210.58,110.6
598,210.6,110.6
599,210.63,110.6
600,210.52,110.5
601,210.55,110.6
602,210.62,110.6
603,210.53,110.5
604,210.62,110.6
605,210.57,110.6
606,210.57,110.6
607,210.59,110.6
608,210.6,110.6
609,210.55,110.6
610,210.56,110.6
611,210.55,110.6
612,210.66,110.7
613,210.63,110.6
614,210.65,110.7
